timestamp,run_type,run_number,wall_seconds,cached_packages,total_packages
200101010000,cold,1,27.791,0,19
200101010000,warm,1,31.513,0,19
200101010000,warm,2,2.364,19,19
200101010000,warm,3,2.329,19,19
197001010000,cold,1,25.793,0,19
197001010000,warm,1,28.964,0,19
197001010000,warm,2,2.302,19,19
197001010000,warm,3,2.324,19,19
198001010000,cold,1,28.477,0,19
198001010000,warm,1,26.161,0,19
198001010000,warm,2,2.359,19,19
198001010000,warm,3,2.354,19,19
200001010000,cold,1,26.690,0,19
200001010000,warm,1,28.455,0,19
200001010000,warm,2,2.344,19,19
200001010000,warm,3,2.370,19,19
199912312359,cold,1,33.367,0,19
199912312359,warm,1,31.816,0,19
199912312359,warm,2,2.314,19,19
199912312359,warm,3,2.268,19,19
202301150830,cold,1,26.501,0,19
202301150830,warm,1,29.808,0,19
202301150830,warm,2,2.339,19,19
202301150830,warm,3,2.329,19,19
202512312359,cold,1,29.576,0,19
202512312359,warm,1,29.599,0,19
202512312359,warm,2,2.363,19,19
202512312359,warm,3,2.326,19,19
197001020000,cold,1,33.079,0,19
197001020000,warm,1,32.377,0,19
197001020000,warm,2,46.665,3,19
197001020000,warm,3,2.264,19,19
200707070707,cold,1,29.891,0,19
200707070707,warm,1,30.561,0,19
200707070707,warm,2,2.329,19,19
200707070707,warm,3,2.291,19,19
201111111111,cold,1,31.057,0,19
201111111111,warm,1,28.593,0,19
201111111111,warm,2,2.265,19,19
201111111111,warm,3,2.260,19,19
199901010000,cold,1,29.164,0,19
199901010000,warm,1,31.648,0,19
199901010000,warm,2,2.384,19,19
199901010000,warm,3,2.337,19,19
202601010000,cold,1,33.468,0,19
202601010000,warm,1,28.998,0,19
202601010000,warm,2,2.378,19,19
202601010000,warm,3,2.268,19,19
